1 1.41421  0.346574 0.346574
684 4.25024e+66  90.1813 155.318
685 3.97241e+66  90.2735 155.318
686 6.76924e+66  90.3662 155.318
687 1.54477e+67  90.4599 155.318
688 2.93083e+67  90.5542 155.348
689 1.95508e+67  90.6477 155.348
690 1.35807e+67  90.7403 155.348
691 1.1009e+67  90.8324 155.348
692 2.38634e+67  90.9253 155.348
693 5.30073e+67  91.0192 155.941
694 5.78451e+67  91.1128 156.028
695 4.02093e+67  91.2057 156.028
696 1.96864e+67  91.2973 156.028
697 8.82936e+66  91.3875 156.028
698 9.82093e+66  91.4775 156.028
699 1.40795e+67  91.5679 156.028
700 9.30343e+66  91.6573 156.028
701 7.09999e+66  91.7462 156.028
702 1.15254e+67  91.8354 156.028
703 2.32822e+67  91.9255 156.028
704 2.25446e+67  92.0152 156.028
705 1.6435e+67  92.1042 156.028
706 1.07148e+67  92.1923 156.028
707 1.86262e+67  92.281 156.028
708 3.6755e+67  92.3704 156.028
709 2.65441e+67  92.4591 156.028
710 1.8518e+67  92.5471 156.028
711 9.00136e+66  92.6337 156.028
712 9.4726e+66  92.7202 156.028
713 1.81655e+67  92.8074 156.028
714 1.24095e+67  92.8938 156.028
715 8.42136e+66  92.9794 156.028
716 4.60386e+66  93.0639 156.028
717 6.07335e+66  93.1486 156.028
718 1.15259e+67  93.2339 156.028
719 8.7381e+66  93.3186 156.028
720 6.32348e+66  93.4026 156.028
721 4.0034e+66  93.4858 156.028
722 7.43143e+66  93.5696 156.028
723 1.68405e+67  93.6543 156.028
724 2.13037e+67  93.739 156.028
725 1.45533e+67  93.823 156.028
726 8.08078e+66  93.906 156.028
727 9.6027e+66  93.989 156.028
728 2.10348e+67  94.0728 156.028
