579 27.818  2.44032 3.52993
580 22.2115  2.44146 3.52993
581 32.659  2.44326 3.52993
582 29.9603  2.4449 3.52993
583 21.5801  2.44598 3.52993
584 31.786  2.44771 3.52993
585 31.8787  2.44945 3.52993
586 21.2012  2.45048 3.52993
587 30.7796  2.45214 3.52993
588 33.4516  2.45394 3.52993
589 21.1298  2.45495 3.52993
590 29.6543  2.45654 3.52993
591 34.6141  2.45838 3.54426
592 21.458  2.4594 3.54426
593 28.4303  2.4609 3.54426
594 35.345  2.46276 3.56516
595 22.2882  2.46384 3.56516
596 27.1489  2.46524 3.56516
597 35.6563  2.4671 3.57393
598 23.6707  2.46827 3.57393
599 25.8779  2.46958 3.57393
600 35.5879  2.47141 3.57393
601 25.5457  2.47269 3.57393
602 24.6989  2.47391 3.57393
603 35.2007  2.47572 3.57393
604 27.7402  2.47712 3.57393
605 23.685  2.47826 3.57393
606 34.5633  2.48001 3.57393
607 30.023  2.48153 3.57393
608 22.8848  2.4826 3.57393
609 33.7347  2.4843 3.57393
610 32.1742  2.48592 3.57393
611 22.329  2.48693 3.57393
612 32.7541  2.48857 3.57393
613 34.029  2.49026 3.57393
614 22.057  2.49125 3.57393
615 31.6418  2.49281 3.57393
616 35.4871  2.49456 3.57393
617 22.1426  2.49554 3.57393
618 30.4134  2.49703 3.57393
619 36.5023  2.4988 3.59737
620 22.6919  2.49981 3.59737
621 29.0976  2.50121 3.59737
622 37.0681  2.503 3.61276
623 23.7973  2.50407 3.61276
624 27.7498  2.50538 3.61276
625 37.2103  2.50716 3.61659
626 25.4674  2.50832 3.61659
627 26.449  2.50955 3.61659
628 36.9813  2.5113 3.61659
629 27.5859  2.51258 3.61659
630 25.2797  2.51372 3.61659
631 36.4504  2.51544 3.61659
632 29.9375  2.51683 3.61659
633 24.3082  2.5179 3.61659
634 35.6869  2.51957 3.61659
635 32.2784  2.52107 3.61659
636 23.5747  2.52207 3.61659
637 34.7447  2.52368 3.61659
638 34.4002  2.52527 3.61659
639 23.1109  2.52624 3.61659
640 33.6554  2.52778 3.61659
641 36.1603  2.52944 3.61659
642 22.9703  2.53038 3.61659
643 32.4361  2.53186 3.61659
644 37.4801  2.53355 3.62381
645 23.2466  2.5345 3.62381
646 31.1065  2.5359 3.62381
647 38.3307  2.53762 3.64625
648 24.052  2.53861 3.64625
649 29.7074  2.53992 3.64625
650 38.7205  2.54164 3.65637
651 25.4541  2.54271 3.65637
652 28.3083  2.54393 3.65637
653 38.6892  2.54564 3.65637
654 27.4079  2.54681 3.65637
655 26.997  2.54795 3.65637
656 38.3007  2.54962 3.65637
657 29.7417  2.55091 3.65637
658 25.8559  2.55197 3.65637
659 37.6295  2.5536 3.65637
660 32.2091  2.555 3.65637
661 24.9419  2.556 3.65637
662 36.7432  2.55758 3.65637
663 34.5655  2.55907 3.65637
664 24.2894  2.56002 3.65637
665 35.6879  2.56154 3.65637
666 36.6217  2.5631 3.65637
667 23.9371  2.56402 3.65637
668 34.4887  2.56548 3.65637
669 38.2588  2.5671 3.65637
670 23.9573  2.568 3.65637
671 33.1621  2.5694 3.65637
672 39.4193  2.57104 3.67426
673 24.4609  2.57197 3.67426
674 31.736  2.57328 3.67426
675 40.0908  2.57494 3.69115
676 25.5541  2.57593 3.69115
677 30.2655  2.57716 3.69115
678 40.2967  2.57881 3.69627
679 27.2639  2.57988 3.69627
680 28.8332  2.58103 3.69627
681 40.0904  2.58266 3.69627
682 29.4852  2.58383 3.69627
683 27.5313  2.5849 3.69627
684 39.5454  2.5865 3.69627
685 31.9972  2.58778 3.69627
686 26.4357  2.58879 3.69627
687 38.7384  2.59034 3.69627
688 34.5356  2.59172 3.69627
689 25.5937  2.59267 3.69627
690 37.7315  2.59417 3.69627
691 36.8659  2.59564 3.69627
692 25.0383  2.59654 3.69627
693 36.563  2.59799 3.69627
694 38.8226  2.59952 3.69627
695 24.8213  2.6004 3.69627
696 35.2527  2.60178 3.69627
697 40.3114  2.60335 3.69663
698 25.0363  2.60423 3.69663
699 33.8205  2.60555 3.69663
700 41.2943  2.60714 3.72072
701 25.8042  2.60806 3.72072
702 32.3058  2.60929 3.72072
703 41.7752  2.61089 3.7323
704 27.21  2.61187 3.7323
705 30.7793  2.61303 3.7323
706 41.7927  2.61462 3.73272
707 29.2265  2.61569 3.73272
708 29.3339  2.61677 3.73272
709 41.4127  2.61833 3.73272
710 31.6874  2.61951 3.73272
711 28.0612  2.62052 3.73272
712 40.7157  2.62204 3.73272
713 34.3338  2.62332 3.73272
714 27.0274  2.62427 3.73272
715 39.7771  2.62575 3.73272
716 36.897  2.62712 3.73272
717 26.2718  2.62801 3.73272
718 38.6513  2.62944 3.73272
719 39.1615  2.63089 3.73272
720 25.8324  2.63175 3.73272
721 37.3686  2.63312 3.73272
722 40.9882  2.63462 3.73272
723 25.7795  2.63547 3.73272
724 35.9469  2.63678 3.73272
725 42.3063  2.6383 3.74494
726 26.2268  2.63917 3.74494
727 34.4132  2.64041 3.74494
728 43.0962  2.64195 3.76344
729 27.2935  2.64286 3.76344
730 32.8217  2.64402 3.76344
731 43.3783  2.64556 3.76996
732 29.0265  2.64655 3.76996
733 31.2576  2.64764 3.76996
734 43.2058  2.64916 3.76996
735 31.3355  2.65024 3.76996
736 29.8203  2.65125 3.76996
737 42.6558  2.65275 3.76996
738 33.9979  2.65393 3.76996
739 28.5956  2.65488 3.76996
740 41.8122  2.65634 3.76996
741 36.7309  2.65761 3.76996
742 27.6388  2.65851 3.76996
743 40.7456  2.65992 3.76996
744 39.2736  2.66128 3.76996
745 26.9853  2.66213 3.76996
746 39.5014  2.66349 3.76996
747 41.4356  2.66491 3.76996
748 26.6848  2.66573 3.76996
749 38.1035  2.66704 3.76996
750 43.1049  2.6685 3.76996
751 26.83  2.66932 3.76996
752 36.5716  2.67056 3.76996
753 44.2327  2.67205 3.78946
754 27.5483  2.6729 3.78946
755 34.944  2.67407 3.78946
756 44.8175  2.67556 3.8026
757 28.9422  2.67647 3.8026
758 33.291  2.67757 3.8026
759 44.8958  2.67905 3.80434
760 31.0048  2.68004 3.80434
761 31.7103  2.68106 3.80434
762 44.5348  2.68253 3.80434
763 33.5791  2.68362 3.80434
764 30.3023  2.68457 3.80434
765 43.8202  2.686 3.80434
766 36.3974  2.68719 3.80434
767 29.143  2.68808 3.80434
768 42.8354  2.68947 3.80434
769 39.1673  2.69075 3.80434
770 28.2779  2.69159 3.80434
771 41.6435  2.69294 3.80434
772 41.6462  2.69428 3.80434
773 27.7448  2.69509 3.80434
774 40.2806  2.69639 3.80434
775 43.6725  2.69778 3.80434
776 27.6114  2.69858 3.80434
777 38.767  2.69981 3.80434
778 45.1602  2.70124 3.81022
779 27.9926  2.70205 3.81022
780 37.1287  2.70322 3.81022
781 46.0814  2.70466 3.83041
782 29.0193  2.70551 3.83041
783 35.4184  2.70661 3.83041
784 46.4522  2.70806 3.83842
785 30.759  2.70897 3.83842
